113400.00, 5350.1036490, N, 01738.7701949, E, Satellites: 29, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
113401.00, 5350.1036559, N, 01738.7701857, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113402.00, 5350.1036642, N, 01738.7701893, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113403.00, 5350.1036763, N, 01738.7702041, E, Satellites: 29, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
113404.00, 5350.1036850, N, 01738.7702259, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.004, alt_err: 0.008
113405.00, 5350.1036996, N, 01738.7702322, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113406.00, 5350.1037171, N, 01738.7702368, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113407.00, 5350.1037283, N, 01738.7702509, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.004, alt_err: 0.008
113408.00, 5350.1037373, N, 01738.7702536, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113409.00, 5350.1037450, N, 01738.7702673, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113410.00, 5350.1037608, N, 01738.7702884, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113411.00, 5350.1037710, N, 01738.7702826, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113412.00, 5350.1037791, N, 01738.7702981, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113413.00, 5350.1037863, N, 01738.7703146, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113414.00, 5350.1037980, N, 01738.7703016, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113415.00, 5350.1038076, N, 01738.7703110, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113416.00, 5350.1038124, N, 01738.7703330, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113417.00, 5350.1038245, N, 01738.7703230, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113418.00, 5350.1038341, N, 01738.7703439, E, Satellites: 30, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113419.00, 5350.1038438, N, 01738.7703426, E, Satellites: 30, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
