time	lat	lon
113400	53.83610686	17.64627054
113401	53.83610954	17.64629176
113402	53.83606144	17.64629310
113403	53.83601534	17.64630919
113404	53.83599249	17.64628818
113405	53.83595043	17.64627553
113406	53.83591847	17.64626983
113407	53.83590581	17.64628154
113408	53.83593085	17.64623430
113409	53.83586356	17.64629879
113410	53.83583104	17.64627015
113411	53.83580703	17.64629261
113412	53.83574410	17.64631639
113413	53.83575387	17.64626317
113414	53.83572722	17.64627261
113415	53.83571763	17.64622850
113416	53.83570986	17.64624736
113417	53.83567815	17.64621965
113418	53.83564073	17.64621439
113419	53.83565380	17.64620779
