113400.04, 5350.1508320, N, 1738.7829902, E, Depth: 2.04, X: -136.638, Y: -72.943
113400.09, 5350.1507810, N, 1738.7829602, E, Depth: 2.04, X: -136.732, Y: -72.976
113400.14, 5350.1507294, N, 1738.7829284, E, Depth: 2.06, X: -136.828, Y: -73.011
113400.19, 5350.1506784, N, 1738.7828972, E, Depth: 2.06, X: -136.923, Y: -73.045
113400.24, 5350.1506268, N, 1738.7828660, E, Depth: 2.06, X: -137.018, Y: -73.08
113400.29, 5350.1505758, N, 1738.7828342, E, Depth: 2.06, X: -137.113, Y: -73.115
113400.34, 5350.1505236, N, 1738.7828030, E, Depth: 2.07, X: -137.209, Y: -73.149
113400.39, 5350.1504720, N, 1738.7827712, E, Depth: 2.07, X: -137.305, Y: -73.184
113400.44, 5350.1504204, N, 1738.7827394, E, Depth: 2.07, X: -137.401, Y: -73.219
113400.49, 5350.1503688, N, 1738.7827076, E, Depth: 2.07, X: -137.497, Y: -73.254
113400.54, 5350.1503166, N, 1738.7826740, E, Depth: 2.09, X: -137.594, Y: -73.29
113400.59, 5350.1502650, N, 1738.7826416, E, Depth: 2.09, X: -137.69, Y: -73.326
113400.64, 5350.1502128, N, 1738.7826080, E, Depth: 2.09, X: -137.786, Y: -73.363
113400.69, 5350.1501612, N, 1738.7825750, E, Depth: 2.09, X: -137.883, Y: -73.399
113400.74, 5350.1501096, N, 1738.7825408, E, Depth: 2.12, X: -137.978, Y: -73.436
113400.79, 5350.1500580, N, 1738.7825072, E, Depth: 2.12, X: -138.073, Y: -73.474
113400.84, 5350.1500070, N, 1738.7824730, E, Depth: 2.12, X: -138.169, Y: -73.511
113400.89, 5350.1499554, N, 1738.7824388, E, Depth: 2.12, X: -138.264, Y: -73.549
113400.94, 5350.1499038, N, 1738.7824046, E, Depth: 2.12, X: -138.36, Y: -73.586
113400.99, 5350.1498522, N, 1738.7823704, E, Depth: 2.12, X: -138.455, Y: -73.623
113401.04, 5350.1498006, N, 1738.7823362, E, Depth: 2.12, X: -138.551, Y: -73.661
113401.09, 5350.1497496, N, 1738.7823020, E, Depth: 2.12, X: -138.646, Y: -73.699
113401.14, 5350.1496986, N, 1738.7822660, E, Depth: 2.13, X: -138.741, Y: -73.738
113401.19, 5350.1496470, N, 1738.7822306, E, Depth: 2.13, X: -138.836, Y: -73.777
113401.24, 5350.1495960, N, 1738.7821952, E, Depth: 2.13, X: -138.931, Y: -73.816
113401.29, 5350.1495450, N, 1738.7821598, E, Depth: 2.13, X: -139.025, Y: -73.855
113401.34, 5350.1494928, N, 1738.7821238, E, Depth: 2.15, X: -139.122, Y: -73.894
113401.39, 5350.1494412, N, 1738.7820884, E, Depth: 2.15, X: -139.217, Y: -73.933
113401.44, 5350.1493902, N, 1738.7820524, E, Depth: 2.15, X: -139.313, Y: -73.972
113401.49, 5350.1493386, N, 1738.7820164, E, Depth: 2.15, X: -139.408, Y: -74.012
113401.54, 5350.1492858, N, 1738.7819810, E, Depth: 2.15, X: -139.506, Y: -74.051
113401.59, 5350.1492336, N, 1738.7819456, E, Depth: 2.15, X: -139.603, Y: -74.09
113401.64, 5350.1491814, N, 1738.7819096, E, Depth: 2.15, X: -139.7, Y: -74.129
113401.69, 5350.1491292, N, 1738.7818736, E, Depth: 2.15, X: -139.796, Y: -74.168
113401.74, 5350.1490782, N, 1738.7818376, E, Depth: 2.17, X: -139.891, Y: -74.208
113401.79, 5350.1490266, N, 1738.7818016, E, Depth: 2.17, X: -139.986, Y: -74.247
113401.84, 5350.1489756, N, 1738.7817656, E, Depth: 2.17, X: -140.082, Y: -74.287
113401.89, 5350.1489240, N, 1738.7817296, E, Depth: 2.17, X: -140.177, Y: -74.327
113401.94, 5350.1488718, N, 1738.7816942, E, Depth: 2.18, X: -140.274, Y: -74.365
113401.99, 5350.1488196, N, 1738.7816588, E, Depth: 2.18, X: -140.371, Y: -74.404
113402.04, 5350.1487674, N, 1738.7816234, E, Depth: 2.18, X: -140.468, Y: -74.443
113402.09, 5350.1487152, N, 1738.7815880, E, Depth: 2.18, X: -140.564, Y: -74.482
113402.14, 5350.1486636, N, 1738.7815508, E, Depth: 2.18, X: -140.661, Y: -74.523
113402.19, 5350.1486114, N, 1738.7815148, E, Depth: 2.18, X: -140.757, Y: -74.563
113402.24, 5350.1485598, N, 1738.7814782, E, Depth: 2.18, X: -140.853, Y: -74.603
113402.29, 5350.1485076, N, 1738.7814416, E, Depth: 2.18, X: -140.949, Y: -74.643
113402.34, 5350.1484554, N, 1738.7814032, E, Depth: 2.18, X: -141.046, Y: -74.685
113402.39, 5350.1484038, N, 1738.7813654, E, Depth: 2.18, X: -141.143, Y: -74.726
113402.44, 5350.1483516, N, 1738.7813276, E, Depth: 2.18, X: -141.239, Y: -74.768
113402.49, 5350.1482994, N, 1738.7812898, E, Depth: 2.18, X: -141.335, Y: -74.809
113402.54, 5350.1482484, N, 1738.7812520, E, Depth: 2.19, X: -141.431, Y: -74.851
113402.59, 5350.1481968, N, 1738.7812142, E, Depth: 2.19, X: -141.526, Y: -74.892
113402.64, 5350.1481452, N, 1738.7811758, E, Depth: 2.19, X: -141.622, Y: -74.934
113402.69, 5350.1480936, N, 1738.7811380, E, Depth: 2.19, X: -141.717, Y: -74.976
113402.74, 5350.1480426, N, 1738.7811002, E, Depth: 2.18, X: -141.812, Y: -75.017
113402.79, 5350.1479910, N, 1738.7810624, E, Depth: 2.18, X: -141.907, Y: -75.059
113402.84, 5350.1479400, N, 1738.7810246, E, Depth: 2.18, X: -142.003, Y: -75.1
113402.89, 5350.1478884, N, 1738.7809868, E, Depth: 2.18, X: -142.098, Y: -75.142
113402.94, 5350.1478368, N, 1738.7809496, E, Depth: 2.19, X: -142.193, Y: -75.183
113402.99, 5350.1477858, N, 1738.7809118, E, Depth: 2.19, X: -142.289, Y: -75.224
113403.04, 5350.1477342, N, 1738.7808746, E, Depth: 2.19, X: -142.384, Y: -75.265
