105226.00, 5432.6649098, N, 01832.7675308, E, Satellites: 16, lon_err: 0.596, lat_err: 2.205, alt_err: 1.832
105227.00, 5432.6649170, N, 01832.7675759, E, Satellites: 16, lon_err: 0.602, lat_err: 2.175, alt_err: 1.881
105228.00, 5432.6649024, N, 01832.7676181, E, Satellites: 16, lon_err: 0.609, lat_err: 2.245, alt_err: 1.880
105229.00, 5432.6648849, N, 01832.7675981, E, Satellites: 16, lon_err: 0.600, lat_err: 2.217, alt_err: 1.825
105230.00, 5432.6648659, N, 01832.7675586, E, Satellites: 16, lon_err: 0.592, lat_err: 2.283, alt_err: 1.829
105231.00, 5432.6648534, N, 01832.7674999, E, Satellites: 16, lon_err: 0.597, lat_err: 2.273, alt_err: 1.823
105232.00, 5432.6648444, N, 01832.7674690, E, Satellites: 16, lon_err: 0.588, lat_err: 2.236, alt_err: 1.810
105233.00, 5432.6648377, N, 01832.7674912, E, Satellites: 16, lon_err: 0.646, lat_err: 2.380, alt_err: 2.004
105234.00, 5432.6648350, N, 01832.7674639, E, Satellites: 16, lon_err: 0.632, lat_err: 2.405, alt_err: 1.959
105235.00, 5432.6648438, N, 01832.7674564, E, Satellites: 16, lon_err: 0.658, lat_err: 2.426, alt_err: 2.048
105236.00, 5432.6648416, N, 01832.7674311, E, Satellites: 16, lon_err: 0.666, lat_err: 2.495, alt_err: 2.029
105237.00, 5432.6648386, N, 01832.7673889, E, Satellites: 16, lon_err: 0.641, lat_err: 2.539, alt_err: 2.009
105238.00, 5432.6648379, N, 01832.7673941, E, Satellites: 16, lon_err: 0.650, lat_err: 2.364, alt_err: 1.937
105239.00, 5432.6648462, N, 01832.7673404, E, Satellites: 16, lon_err: 0.628, lat_err: 2.284, alt_err: 1.905
105240.00, 5432.6648522, N, 01832.7672746, E, Satellites: 16, lon_err: 0.652, lat_err: 2.442, alt_err: 1.983
105241.00, 5432.6648448, N, 01832.7672145, E, Satellites: 16, lon_err: 0.623, lat_err: 2.284, alt_err: 1.883
105242.00, 5432.6648383, N, 01832.7671431, E, Satellites: 16, lon_err: 0.616, lat_err: 2.275, alt_err: 1.885
105243.00, 5432.6648369, N, 01832.7670816, E, Satellites: 16, lon_err: 0.625, lat_err: 2.301, alt_err: 1.909
105244.00, 5432.6648394, N, 01832.7670239, E, Satellites: 16, lon_err: 0.672, lat_err: 2.564, alt_err: 2.050
105245.00, 5432.6648359, N, 01832.7669515, E, Satellites: 16, lon_err: 0.637, lat_err: 2.382, alt_err: 1.972
105246.00, 5432.6648313, N, 01832.7669105, E, Satellites: 16, lon_err: 0.610, lat_err: 2.266, alt_err: 1.846
105247.00, 5432.6648042, N, 01832.7668317, E, Satellites: 16, lon_err: 0.611, lat_err: 2.291, alt_err: 1.825
105248.00, 5432.6647708, N, 01832.7667815, E, Satellites: 16, lon_err: 0.600, lat_err: 2.275, alt_err: 1.798
105249.00, 5432.6647524, N, 01832.7667426, E, Satellites: 16, lon_err: 0.585, lat_err: 2.188, alt_err: 1.789
105250.00, 5432.6647425, N, 01832.7667148, E, Satellites: 16, lon_err: 0.580, lat_err: 2.128, alt_err: 1.797
105251.00, 5432.6647447, N, 01832.7666818, E, Satellites: 16, lon_err: 0.577, lat_err: 2.119, alt_err: 1.747
105252.00, 5432.6647592, N, 01832.7666227, E, Satellites: 16, lon_err: 0.575, lat_err: 2.243, alt_err: 1.734
105253.00, 5432.6647604, N, 01832.7666350, E, Satellites: 16, lon_err: 0.566, lat_err: 2.101, alt_err: 1.709
105254.00, 5432.6647642, N, 01832.7666259, E, Satellites: 16, lon_err: 0.575, lat_err: 2.135, alt_err: 1.760
105255.00, 5432.6647449, N, 01832.7666222, E, Satellites: 16, lon_err: 0.555, lat_err: 2.133, alt_err: 1.699
105256.00, 5432.6647391, N, 01832.7666170, E, Satellites: 16, lon_err: 0.554, lat_err: 2.049, alt_err: 1.671
105257.00, 5432.6647321, N, 01832.7666065, E, Satellites: 16, lon_err: 0.556, lat_err: 2.084, alt_err: 1.678
105258.00, 5432.6647309, N, 01832.7666313, E, Satellites: 16, lon_err: 0.571, lat_err: 2.063, alt_err: 1.740
105259.00, 5432.6647212, N, 01832.7666371, E, Satellites: 16, lon_err: 0.531, lat_err: 2.071, alt_err: 1.614
