105630.00, 5350.1042961, N, 01738.7705470, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105631.00, 5350.1043140, N, 01738.7705484, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105632.00, 5350.1043330, N, 01738.7705632, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105633.00, 5350.1043475, N, 01738.7705633, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105634.00, 5350.1043605, N, 01738.7705697, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105635.00, 5350.1043759, N, 01738.7705662, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105636.00, 5350.1043910, N, 01738.7705719, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105637.00, 5350.1044003, N, 01738.7705810, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105638.00, 5350.1044102, N, 01738.7705826, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105639.00, 5350.1044210, N, 01738.7705833, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105640.00, 5350.1044297, N, 01738.7705896, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105641.00, 5350.1044423, N, 01738.7705793, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105642.00, 5350.1044515, N, 01738.7705890, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105643.00, 5350.1044462, N, 01738.7705877, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105644.00, 5350.1044552, N, 01738.7705967, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105645.00, 5350.1044564, N, 01738.7705935, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105646.00, 5350.1044540, N, 01738.7705965, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105647.00, 5350.1044452, N, 01738.7705851, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105648.00, 5350.1044419, N, 01738.7706025, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105649.00, 5350.1044421, N, 01738.7706050, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
