102050.60, 5350.15596, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102050.80, 5350.15596, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102051.00, 5350.15596, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102051.20, 5350.15596, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102051.40, 5350.15596, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102051.60, 5350.15596, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102051.80, 5350.15597, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102052.00, 5350.15597, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102052.20, 5350.15598, N, 01738.90326, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102052.40, 5350.15598, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102052.60, 5350.15598, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102052.80, 5350.15598, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102053.00, 5350.15599, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102053.20, 5350.15599, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102053.40, 5350.15600, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102053.60, 5350.15600, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102053.80, 5350.15601, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102054.00, 5350.15601, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102054.20, 5350.15601, N, 01738.90325, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102054.40, 5350.15602, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102054.60, 5350.15602, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102054.80, 5350.15602, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102055.00, 5350.15603, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102055.20, 5350.15604, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
