103936.60, 5350.11531, N, 01738.87425, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103936.80, 5350.11530, N, 01738.87426, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103937.00, 5350.11529, N, 01738.87427, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103937.20, 5350.11529, N, 01738.87427, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103937.40, 5350.11528, N, 01738.87428, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103937.60, 5350.11527, N, 01738.87429, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103937.80, 5350.11527, N, 01738.87430, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103938.00, 5350.11526, N, 01738.87430, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103938.20, 5350.11526, N, 01738.87431, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103938.40, 5350.11525, N, 01738.87433, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103938.60, 5350.11525, N, 01738.87433, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
