105413.60, 5350.11481, N, 01738.87464, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105413.80, 5350.11481, N, 01738.87463, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105414.00, 5350.11482, N, 01738.87462, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105414.20, 5350.11484, N, 01738.87461, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105414.40, 5350.11484, N, 01738.87460, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105414.60, 5350.11485, N, 01738.87459, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105414.80, 5350.11486, N, 01738.87458, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105415.00, 5350.11487, N, 01738.87457, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105415.20, 5350.11487, N, 01738.87457, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105415.40, 5350.11488, N, 01738.87456, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105415.60, 5350.11489, N, 01738.87456, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105415.80, 5350.11488, N, 01738.87455, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105416.00, 5350.11489, N, 01738.87454, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105416.20, 5350.11490, N, 01738.87454, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105416.40, 5350.11490, N, 01738.87453, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105416.60, 5350.11491, N, 01738.87452, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105416.80, 5350.11491, N, 01738.87451, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105417.00, 5350.11492, N, 01738.87451, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105417.20, 5350.11492, N, 01738.87450, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105417.40, 5350.11492, N, 01738.87450, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105417.60, 5350.11493, N, 01738.87449, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105417.80, 5350.11493, N, 01738.87449, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105418.00, 5350.11493, N, 01738.87448, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105418.20, 5350.11494, N, 01738.87448, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105418.40, 5350.11494, N, 01738.87448, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105418.60, 5350.11494, N, 01738.87448, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105418.80, 5350.11495, N, 01738.87448, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105419.00, 5350.11495, N, 01738.87448, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105419.20, 5350.11495, N, 01738.87448, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
105419.40, 5350.11495, N, 01738.87447, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.20',), alt_err: 0.44, Acc_X: 1002,Acc_Y: 15, Acc_Z: 3, Mag_X: 43, Mag_Y: 5083, Mag_Z: -913
