105930.00, 5350.0879740, N, 01738.7911767, E, Satellites: 16, HDOP: 0.7, lon_err: 0.120, lat_err: 0.074, alt_err: 0.157
105931.00, 5350.0879270, N, 01738.7912813, E, Satellites: 15, HDOP: 0.8, lon_err: 0.118, lat_err: 0.073, alt_err: 0.156
105932.00, 5350.0878729, N, 01738.7913778, E, Satellites: 15, HDOP: 0.8, lon_err: 0.117, lat_err: 0.072, alt_err: 0.155
105933.00, 5350.0878230, N, 01738.7914860, E, Satellites: 15, HDOP: 0.8, lon_err: 0.116, lat_err: 0.072, alt_err: 0.154
105934.00, 5350.0877697, N, 01738.7915947, E, Satellites: 15, HDOP: 0.8, lon_err: 0.116, lat_err: 0.071, alt_err: 0.153
105935.00, 5350.0877062, N, 01738.7916950, E, Satellites: 15, HDOP: 0.8, lon_err: 0.115, lat_err: 0.071, alt_err: 0.152
105936.00, 5350.0876472, N, 01738.7917992, E, Satellites: 15, HDOP: 0.8, lon_err: 0.114, lat_err: 0.071, alt_err: 0.151
105937.00, 5350.0875790, N, 01738.7918884, E, Satellites: 15, HDOP: 0.8, lon_err: 0.114, lat_err: 0.070, alt_err: 0.150
105938.00, 5350.0875212, N, 01738.7919728, E, Satellites: 15, HDOP: 0.8, lon_err: 0.113, lat_err: 0.070, alt_err: 0.149
105939.00, 5350.0874655, N, 01738.7920665, E, Satellites: 15, HDOP: 0.8, lon_err: 0.112, lat_err: 0.069, alt_err: 0.149
105940.00, 5350.0874098, N, 01738.7921587, E, Satellites: 15, HDOP: 0.8, lon_err: 0.112, lat_err: 0.069, alt_err: 0.148
105941.00, 5350.0873505, N, 01738.7922485, E, Satellites: 16, HDOP: 0.7, lon_err: 0.111, lat_err: 0.069, alt_err: 0.147
105942.00, 5350.0873074, N, 01738.7923533, E, Satellites: 16, HDOP: 0.7, lon_err: 0.108, lat_err: 0.067, alt_err: 0.146
105943.00, 5350.0872617, N, 01738.7924609, E, Satellites: 16, HDOP: 0.7, lon_err: 0.107, lat_err: 0.067, alt_err: 0.145
105944.00, 5350.0872203, N, 01738.7925674, E, Satellites: 16, HDOP: 0.7, lon_err: 0.106, lat_err: 0.066, alt_err: 0.144
105945.00, 5350.0871773, N, 01738.7926744, E, Satellites: 16, HDOP: 0.7, lon_err: 0.105, lat_err: 0.066, alt_err: 0.143
105946.00, 5350.0871379, N, 01738.7927779, E, Satellites: 16, HDOP: 0.7, lon_err: 0.104, lat_err: 0.065, alt_err: 0.142
105947.00, 5350.0870924, N, 01738.7928782, E, Satellites: 16, HDOP: 0.7, lon_err: 0.104, lat_err: 0.065, alt_err: 0.141
105948.00, 5350.0870409, N, 01738.7929709, E, Satellites: 14, HDOP: 0.9, lon_err: 0.103, lat_err: 0.064, alt_err: 0.141
105949.00, 5350.0869876, N, 01738.7930724, E, Satellites: 14, HDOP: 0.9, lon_err: 0.102, lat_err: 0.064, alt_err: 0.140
