105223.00, 5432.6652657, N, 01832.7729995, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.022
105224.00, 5432.6652652, N, 01832.7730082, E, Satellites: 10, lon_err: 0.014, lat_err: 0.043, alt_err: 0.022
105225.00, 5432.6652664, N, 01832.7730088, E, Satellites: 11, lon_err: 0.013, lat_err: 0.040, alt_err: 0.022
105226.00, 5432.6652676, N, 01832.7730028, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.022
105227.00, 5432.6652710, N, 01832.7729915, E, Satellites: 11, lon_err: 0.012, lat_err: 0.036, alt_err: 0.022
105228.00, 5432.6652698, N, 01832.7729972, E, Satellites: 11, lon_err: 0.012, lat_err: 0.036, alt_err: 0.022
105229.00, 5432.6652704, N, 01832.7729971, E, Satellites: 10, lon_err: 0.013, lat_err: 0.039, alt_err: 0.022
105230.00, 5432.6652682, N, 01832.7730046, E, Satellites: 10, lon_err: 0.014, lat_err: 0.044, alt_err: 0.023
105231.00, 5432.6652665, N, 01832.7729901, E, Satellites: 11, lon_err: 0.014, lat_err: 0.044, alt_err: 0.023
105232.00, 5432.6652676, N, 01832.7730007, E, Satellites: 11, lon_err: 0.013, lat_err: 0.040, alt_err: 0.023
105233.00, 5432.6652689, N, 01832.7729916, E, Satellites: 11, lon_err: 0.012, lat_err: 0.039, alt_err: 0.024
105234.00, 5432.6652701, N, 01832.7729975, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.024
105235.00, 5432.6652681, N, 01832.7730017, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.024
105236.00, 5432.6652700, N, 01832.7729907, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.025
105237.00, 5432.6652694, N, 01832.7729912, E, Satellites: 11, lon_err: 0.012, lat_err: 0.039, alt_err: 0.024
105238.00, 5432.6652700, N, 01832.7729887, E, Satellites: 10, lon_err: 0.013, lat_err: 0.042, alt_err: 0.024
105239.00, 5432.6652703, N, 01832.7729939, E, Satellites: 11, lon_err: 0.014, lat_err: 0.044, alt_err: 0.024
105240.00, 5432.6652689, N, 01832.7730057, E, Satellites: 11, lon_err: 0.014, lat_err: 0.046, alt_err: 0.024
105241.00, 5432.6652675, N, 01832.7730118, E, Satellites: 11, lon_err: 0.013, lat_err: 0.042, alt_err: 0.024
105242.00, 5432.6652698, N, 01832.7730017, E, Satellites: 11, lon_err: 0.012, lat_err: 0.040, alt_err: 0.024
105243.00, 5432.6652706, N, 01832.7730012, E, Satellites: 11, lon_err: 0.012, lat_err: 0.039, alt_err: 0.023
105244.00, 5432.6652706, N, 01832.7729977, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.023
105245.00, 5432.6652688, N, 01832.7729854, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.023
105246.00, 5432.6652701, N, 01832.7729898, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105247.00, 5432.6652693, N, 01832.7729810, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105248.00, 5432.6652719, N, 01832.7729848, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.022
105249.00, 5432.6652701, N, 01832.7729848, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.022
105250.00, 5432.6652689, N, 01832.7729855, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.022
105251.00, 5432.6652712, N, 01832.7729883, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.022
105252.00, 5432.6652677, N, 01832.7729854, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.022
105253.00, 5432.6652679, N, 01832.7729906, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105254.00, 5432.6652684, N, 01832.7729948, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105255.00, 5432.6652694, N, 01832.7729941, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105256.00, 5432.6652697, N, 01832.7729867, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105257.00, 5432.6652703, N, 01832.7729883, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105258.00, 5432.6652688, N, 01832.7729900, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
105259.00, 5432.6652681, N, 01832.7730016, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.022
