105930.00, 5350.1040842, N, 01738.7704469, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105931.00, 5350.1040753, N, 01738.7704552, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105932.00, 5350.1040623, N, 01738.7704403, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105933.00, 5350.1040515, N, 01738.7704355, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105934.00, 5350.1040336, N, 01738.7704336, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105935.00, 5350.1040251, N, 01738.7704206, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105936.00, 5350.1040105, N, 01738.7704184, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105937.00, 5350.1039979, N, 01738.7704156, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105938.00, 5350.1039892, N, 01738.7704101, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105939.00, 5350.1039804, N, 01738.7704080, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105940.00, 5350.1039820, N, 01738.7704120, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105941.00, 5350.1039710, N, 01738.7703994, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105942.00, 5350.1039664, N, 01738.7703980, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105943.00, 5350.1039557, N, 01738.7704048, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105944.00, 5350.1039559, N, 01738.7703907, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105945.00, 5350.1039525, N, 01738.7703949, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105946.00, 5350.1039583, N, 01738.7703913, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105947.00, 5350.1039707, N, 01738.7703996, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105948.00, 5350.1039860, N, 01738.7704159, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105949.00, 5350.1039963, N, 01738.7704151, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
